Category,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Scripture_Reference,Explanation
Characters,beginner,Who led the Israelites out of Egypt?,Moses,Abraham,Joshua,David,Moses,Exodus 3:10,"God called Moses to lead the Israelites out of slavery in Egypt."
Characters,beginner,Who was the first king of Israel?,David,Solomon,Saul,Samuel,Saul,1 Samuel 10:24,"Samuel anointed Saul as the first king, though he later fell away from God."
Characters,beginner,Who betrayed Jesus for thirty pieces of silver?,Peter,Judas Iscariot,Thomas,Pontius Pilate,Judas Iscariot,Matthew 26:14-15,"Judas Iscariot agreed to betray Jesus to the chief priests for thirty silver coins."
Characters,beginner,Who was swallowed by a great fish?,Jonah,Job,Joseph,Jeremiah,Jonah,Jonah 1:17,"The Lord provided a huge fish to swallow Jonah for three days and three nights."
Characters,beginner,Who was the mother of Jesus?,Mary,Elizabeth,Ruth,Sarah,Mary,Luke 1:30-31,"The angel Gabriel announced to Mary that she would give birth to Jesus."
Characters,intermediate,What was the name of Abraham's nephew who escaped Sodom?,Lot,Laban,Ishmael,Isaac,Lot,Genesis 19:1,"Lot was warned by angels to flee Sodom before its destruction."
Characters,intermediate,Which disciple was a tax collector before following Jesus?,Matthew,Luke,James,Simon the Zealot,Matthew,Matthew 9:9,"Jesus called Matthew (also called Levi) from his tax collector's booth."
Characters,intermediate,Who was the Roman centurion whose servant Jesus healed?,Cornelius,Julius,Felix,The centurion in Capernaum,The centurion in Capernaum,Matthew 8:5-13,"The centurion showed great faith, saying Jesus only needed to speak the word."
Characters,intermediate,Who was the prophetess who recognized baby Jesus at the temple?,Anna,Deborah,Huldah,Miriam,Anna,Luke 2:36-38,"Anna was 84 years old and gave thanks to God when she saw Jesus."
Characters,intermediate,Which king had a dream about a statue with different metals?,Nebuchadnezzar,Belshazzar,Darius,Cyrus,Nebuchadnezzar,Daniel 2:31-45,"Daniel interpreted Nebuchadnezzar's dream of the statue representing kingdoms."
Characters,intermediate,Who was David's best friend and Jonathan's father?,Saul,Abner,Jesse,Samuel,Saul,1 Samuel 18:1,"Jonathan was Saul's son and became David's closest friend."
Characters,intermediate,What was the name of the woman who hid Israelite spies in Jericho?,Rahab,Deborah,Delilah,Ruth,Rahab,Joshua 2:1-6,"Rahab the prostitute hid the spies on her roof and helped them escape."
Characters,intermediate,Who was the high priest who raised Samuel?,Eli,Aaron,Zadok,Abiathar,Eli,1 Samuel 3:1,"Samuel served under Eli the priest at Shiloh before God called him."
Characters,expert,Who was the king of Salem who blessed Abraham?,Melchizedek,Abimelech,Og,Sihon,Melchizedek,Genesis 14:18-20,"Melchizedek, king of Salem and priest of God Most High, blessed Abraham and received tithes from him."
Characters,expert,Which judge made a rash vow that resulted in sacrificing his daughter?,Jephthah,Gideon,Samson,Barak,Jephthah,Judges 11:30-39,"Jephthah vowed to sacrifice whatever came out of his house first if God gave him victory."
Characters,expert,Who was the cupbearer to King Artaxerxes who rebuilt Jerusalem's walls?,Ezra,Nehemiah,Zerubbabel,Mordecai,Nehemiah,Nehemiah 1:11-2:1,"Nehemiah served as cupbearer before requesting permission to rebuild Jerusalem."
Characters,expert,Which prophet was commanded to marry an unfaithful woman as an object lesson?,Hosea,Jeremiah,Ezekiel,Isaiah,Hosea,Hosea 1:2-3,"God told Hosea to marry Gomer to illustrate Israel's unfaithfulness to God."
Characters,expert,Who was the Pharisee who defended the apostles before the Sanhedrin?,Gamaliel,Nicodemus,Joseph of Arimathea,Caiaphas,Gamaliel,Acts 5:34-39,"Gamaliel wisely counseled the Sanhedrin to leave the apostles alone."
Characters,scholar,Who was the father of Methuselah?,Enoch,Lamech,Jared,Mahalalel,Enoch,Genesis 5:21-22,"Enoch fathered Methuselah and walked faithfully with God before being taken up."
Characters,scholar,Which Levite from Cyprus sold a field and brought the money to the apostles?,Barnabas,Apollos,Silas,Timothy,Barnabas,Acts 4:36-37,"Joseph, called Barnabas by the apostles, sold a field and donated the proceeds to support the early church."
Events,beginner,What did God create on the first day?,Light,Land and sea,Animals,Humans,Light,Genesis 1:3-5,"God said 'Let there be light' and separated light from darkness on the first day."
Events,beginner,What event involved water covering the entire earth?,The Flood,The Red Sea crossing,Jesus' baptism,Creation,The Flood,Genesis 7:17-24,"God sent a flood to cover the earth, saving only Noah's family and the animals in the ark."
Events,beginner,On what day did Jesus rise from the dead?,Sunday,Saturday,Friday,Monday,Sunday,Matthew 28:1,"Jesus rose early on the first day of the week (Sunday), as discovered by the women at the tomb."
Events,beginner,What happened at the Tower of Babel?,God confused languages,God destroyed the tower,Angels descended,People were saved,God confused languages,Genesis 11:7-9,"God confused their language so they could not understand each other and scattered them."
Events,beginner,What miracle did Jesus perform at the wedding in Cana?,Turned water into wine,Healed a servant,Calmed a storm,Fed 5000 people,Turned water into wine,John 2:7-11,"Jesus turned water into wine as His first miraculous sign in Cana of Galilee."
Events,intermediate,What happened when Moses struck the rock at Horeb?,Water came out,Fire came down,The rock split in two,Manna appeared,Water came out,Exodus 17:6,"Moses struck the rock and water came out for the people to drink."
Events,intermediate,What celestial event occurred when Jesus died on the cross?,Darkness covered the land,A star appeared,The moon turned red,Lightning struck,Darkness covered the land,Matthew 27:45,"From noon until three in the afternoon darkness came over all the land."
Events,intermediate,What happened to the Israelites who complained about manna?,Fiery serpents bit them,They wandered 40 more years,A plague killed them,They received quail instead,Fiery serpents bit them,Numbers 21:6,"The Lord sent venomous snakes among them and many Israelites died."
Events,intermediate,What natural phenomenon announced God's presence at Mount Sinai?,Thunder and fire,An earthquake,A flood,A whirlwind,Thunder and fire,Exodus 19:16-18,"There was thunder and lightning with thick cloud on the mountain and fire."
Events,intermediate,What did the disciples do when Jesus walked on water?,Peter walked to Jesus,They immediately believed,They thought He was a ghost,They jumped in the water,They thought He was a ghost,Matthew 14:26,"When the disciples saw Him walking on the lake they were terrified thinking it was a ghost."
Events,intermediate,What happened at Pentecost?,The Holy Spirit came,Jesus ascended,The temple veil tore,Jesus was baptized,The Holy Spirit came,Acts 2:2-4,"A violent wind came from heaven and tongues of fire rested on the believers who were filled with the Holy Spirit."
Events,intermediate,What happened when Elijah challenged the prophets of Baal?,Fire fell from heaven,Rain came immediately,Baal answered,Nothing happened,Fire fell from heaven,1 Kings 18:38,"The fire of the Lord fell and burned up the sacrifice, wood, stones, and soil."
Events,intermediate,What happened to Ananias and Sapphira?,They dropped dead for lying,They were healed,They were imprisoned,They left the church,They dropped dead for lying,Acts 5:5-10,"Both fell down and died after lying to the Holy Spirit about their offering."
Events,expert,What sign did God give King Hezekiah to confirm his healing?,The sun's shadow went backward,A rainbow appeared,His enemy died,Water flowed from a rock,The sun's shadow went backward,2 Kings 20:9-11,"The shadow went back the ten steps it had gone down on the stairway of Ahaz."
Events,expert,What happened when Uzzah touched the ark of the covenant?,God struck him dead,He was healed,He became a priest,He saw a vision,God struck him dead,2 Samuel 6:6-7,"The Lord's anger burned against Uzzah and God struck him down because of his irreverent act."
Events,expert,What plague did God send because David took a census?,A three-day plague,Seven years famine,Invasion by enemies,Death of firstborns,A three-day plague,2 Samuel 24:13-15,"David chose three days of plague and 70,000 men of Israel fell dead."
Events,expert,What happened when the bones of a dead man touched Elisha's bones?,The man came to life,Nothing happened,The bones multiplied,Fire consumed them,The man came to life,2 Kings 13:21,"When the body touched Elisha's bones, the man came to life and stood up on his feet."
Events,expert,What happened during Paul's conversion on the Damascus road?,He saw a bright light and heard Jesus,An angel appeared,He had a dream,A prophet spoke to him,He saw a bright light and heard Jesus,Acts 9:3-4,"A light from heaven flashed around him and he heard the voice of Jesus."
Events,scholar,What was the first miracle performed by Moses before Pharaoh?,His staff became a snake,Water turned to blood,His hand became leprous,Frogs appeared,His staff became a snake,Exodus 7:10,"Aaron threw his staff down before Pharaoh and it became a snake."
Events,scholar,What happened when Ezekiel prophesied to the dry bones?,They came together and lived,They disappeared,They multiplied,Fire consumed them,They came together and lived,Ezekiel 37:7-10,"The bones came together, flesh appeared, and breath entered them so they lived and stood up."
Locations,beginner,Where was Jesus born?,Bethlehem,Nazareth,Jerusalem,Capernaum,Bethlehem,Matthew 2:1,"Jesus was born in Bethlehem in Judea during the time of King Herod."
Locations,beginner,In what garden did Jesus pray before His arrest?,Garden of Gethsemane,Garden of Eden,King's Garden,Olive Garden,Garden of Gethsemane,Matthew 26:36,"Jesus went with His disciples to a place called Gethsemane to pray."
Locations,beginner,Where did Moses receive the Ten Commandments?,Mount Sinai,Mount Nebo,Mount Carmel,Mount Zion,Mount Sinai,Exodus 19:20,"The Lord descended to the top of Mount Sinai and called Moses up."
Locations,beginner,In what river was Jesus baptized?,Jordan River,Nile River,Euphrates River,Tigris River,Jordan River,Matthew 3:13,"Jesus came from Galilee to the Jordan to be baptized by John."
Locations,beginner,Where did the Holy Family flee to escape Herod?,Egypt,Babylon,Damascus,Petra,Egypt,Matthew 2:13-14,"Joseph took the child and His mother during the night and left for Egypt."
Locations,intermediate,Where did Jacob have his dream of a stairway to heaven?,Bethel,Beersheba,Haran,Peniel,Bethel,Genesis 28:19,"Jacob called that place Bethel (House of God) after his dream."
Locations,intermediate,In what city did God confuse the languages?,Babel,Ur,Nineveh,Sodom,Babel,Genesis 11:9,"It was called Babel because there the Lord confused the language of the whole world."
Locations,intermediate,Where did Elijah confront the prophets of Baal?,Mount Carmel,Mount Sinai,Mount Nebo,Mount Horeb,Mount Carmel,1 Kings 18:19-20,"Ahab sent word throughout Israel and assembled the prophets on Mount Carmel."
Locations,intermediate,On what mountain did Abraham attempt to sacrifice Isaac?,Mount Moriah,Mount Sinai,Mount Horeb,Mount Nebo,Mount Moriah,Genesis 22:2,"God told Abraham to go to the region of Moriah and sacrifice Isaac on a mountain."
Locations,intermediate,Where did Paul have his vision of a man from Macedonia?,Troas,Philippi,Athens,Corinth,Troas,Acts 16:8-9,"During the night Paul had a vision while at Troas of a man of Macedonia begging him to come."
Locations,intermediate,What island was John on when he received the book of Revelation?,Patmos,Cyprus,Crete,Malta,Patmos,Revelation 1:9,"John was on the island called Patmos because of the word of God and testimony of Jesus."
Locations,intermediate,Where did Jesus perform His first miracle?,Cana,Capernaum,Jerusalem,Bethany,Cana,John 2:11,"This, the first of His signs, Jesus did at Cana in Galilee."
Locations,intermediate,In what city did the early church first face persecution?,Jerusalem,Antioch,Damascus,Rome,Jerusalem,Acts 8:1,"On that day a great persecution broke out against the church in Jerusalem."
Locations,expert,Where did the ark of the covenant rest after being captured by Philistines?,Ashdod,Gath,Ekron,Gaza,Ashdod,1 Samuel 5:1-2,"The Philistines took the ark to Ashdod and carried it into the temple of Dagon."
Locations,expert,What city did Joshua conquer with a shout and trumpet blast?,Jericho,Ai,Gibeon,Hazor,Jericho,Joshua 6:20,"When the trumpets sounded and the people gave a loud shout, the wall of Jericho collapsed."
Locations,expert,Where did Saul consult a medium?,Endor,En-gedi,Ephesus,Emmaus,Endor,1 Samuel 28:7,"Saul said to his attendants to find him a woman who is a medium at Endor."
Locations,expert,In what town did Jesus raise a widow's son from the dead?,Nain,Nob,Nazareth,Nebo,Nain,Luke 7:11-15,"Jesus went to a town called Nain where He raised a widow's dead son."
Locations,expert,Where was Paul when he received his 'thorn in the flesh'?,Not specified in Scripture,Damascus,Corinth,Ephesus,Not specified in Scripture,2 Corinthians 12:7-9,"Paul mentions the thorn but Scripture doesn't specify where he received it."
Locations,scholar,What was the name of the field purchased with Judas's blood money?,Field of Blood (Akeldama),Potter's Field,Field of Baal,Valley of Hinnom,Field of Blood (Akeldama),Acts 1:19,"Everyone in Jerusalem heard about this so they called that field Akeldama (Field of Blood)."
Locations,scholar,In what city did Apollos first learn the way of God more adequately?,Ephesus,Corinth,Alexandria,Antioch,Ephesus,Acts 18:24-26,"Apollos was instructed more adequately by Priscilla and Aquila in Ephesus."
Parables,beginner,In the parable of the lost sheep, how many sheep did the shepherd have?,100,99,50,10,100,Luke 15:4,"Suppose one of you has a hundred sheep and loses one of them."
Parables,beginner,What did the prodigal son waste his inheritance on?,Wild living,Building a house,Starting a business,Gambling,Wild living,Luke 15:13,"He squandered his wealth in wild living in a distant country."
Parables,beginner,In the parable of the sower, what choked some of the seeds?,Thorns,Rocks,Birds,Water,Thorns,Matthew 13:7,"Other seed fell among thorns which grew up and choked the plants."
Parables,beginner,What did the Good Samaritan do for the injured man?,Helped and paid for his care,Gave him money,Called for help,Prayed for him,Helped and paid for his care,Luke 10:34-35,"He bandaged his wounds, took him to an inn, and paid for his care."
Parables,beginner,In the parable of the talents, what did the servant with one talent do?,Buried it,Invested it,Gave it away,Lost it,Buried it,Matthew 25:18,"The man who had received one bag went off and dug a hole and hid his master's money."
Parables,intermediate,What do the weeds represent in the parable of the weeds?,Sons of the evil one,False prophets,Hypocrites,Unbelievers,Sons of the evil one,Matthew 13:38,"The weeds are the sons of the evil one and the enemy who sows them is the devil."
Parables,intermediate,In the parable of the wedding banquet, why were guests brought in from the streets?,The invited guests refused to come,There wasn't enough food,The king was generous,It was customary,The invited guests refused to come,Matthew 22:3-9,"Those invited did not deserve to come, so servants gathered all they could find."
Parables,intermediate,What did the master do to the unmerciful servant?,Had him thrown in prison,Forgave him again,Increased his debt,Fired him,Had him thrown in prison,Matthew 18:34,"In anger his master handed him over to the jailers to be tortured until he paid back all he owed."
Parables,intermediate,In the parable of the ten virgins, what did the foolish ones forget?,Oil for their lamps,Their wedding clothes,The wedding invitation,Money for gifts,Oil for their lamps,Matthew 25:3,"The foolish ones took their lamps but did not take any oil with them."
Parables,intermediate,What happened to the rich fool in the parable?,God took his life that night,He lost all his wealth,He became poor,He repented,God took his life that night,Luke 12:20,"God said 'You fool! This very night your life will be demanded from you.'"
Parables,intermediate,In the parable of the Pharisee and tax collector, who went home justified?,The tax collector,The Pharisee,Both of them,Neither of them,The tax collector,Luke 18:14,"The tax collector who humbled himself went home justified rather than the Pharisee."
Parables,intermediate,What did the persistent widow seek from the judge?,Justice,Money,Protection,Freedom,Justice,Luke 18:3,"The widow kept coming to the judge saying 'Grant me justice against my adversary.'"
Parables,intermediate,What is the main point of the parable of the hidden treasure?,The kingdom is worth everything,Save for the future,Work hard,Be honest,The kingdom is worth everything,Matthew 13:44,"When a man found treasure hidden in a field, he sold all he had to buy that field."
Parables,expert,In the parable of the shrewd manager, what did Jesus commend?,His shrewdness,His honesty,His generosity,His repentance,His shrewdness,Luke 16:8,"The master commended the dishonest manager because he had acted shrewdly."
Parables,expert,What does the mustard seed parable teach about the kingdom of God?,It starts small but grows large,Faith is small,Small things matter,Patience is needed,It starts small but grows large,Matthew 13:31-32,"Though it is the smallest of seeds, it grows into the largest of garden plants."
Parables,expert,In the parable of the laborers in the vineyard, when were the last workers hired?,The eleventh hour,The sixth hour,The third hour,Noon,The eleventh hour,Matthew 20:6,"About five in the afternoon (eleventh hour) he went out and found still others standing around."
Parables,expert,What does the yeast in the parable represent about the kingdom?,It permeates everything,It makes things rise,It's hidden,It's powerful,It permeates everything,Matthew 13:33,"The kingdom of heaven is like yeast that a woman mixed into about sixty pounds of flour until it worked all through the dough."
Parables,expert,In the parable of the rich man and Lazarus, where was the rich man?,Hades,Hell,Sheol,Torment,Hades,Luke 16:23,"In Hades, where he was in torment, he looked up and saw Abraham far away with Lazarus by his side."
Parables,scholar,What was the soil like in the parable of the sower that produced a crop?,Good soil,Rocky soil,Shallow soil,Deep soil,Good soil,Matthew 13:23,"The seed falling on good soil refers to someone who hears and understands producing a crop."
Parables,scholar,In the parable of the net, what happens to the bad fish?,Thrown away,Sold,Released,Cooked,Thrown away,Matthew 13:48,"They collected the good fish in baskets but threw the bad away."
Themes,beginner,What is the greatest commandment according to Jesus?,Love God with all your heart,Do not murder,Honor your parents,Keep the Sabbath,Love God with all your heart,Matthew 22:37-38,"Love the Lord your God with all your heart, soul, and mind. This is the first and greatest commandment."
Themes,beginner,What does the Bible say God is?,Love,Light,Power,Wisdom,Love,1 John 4:8,"Whoever does not love does not know God, because God is love."
Themes,beginner,What must you do to be saved according to Acts?,Believe in Jesus,Be baptized,Do good works,Keep the law,Believe in Jesus,Acts 16:31,"They replied 'Believe in the Lord Jesus and you will be saved.'"
